rule,name,value
ruler_212_r,average,4.015
ruler_213_r,average,4.015
ruler_214_r,average,4.015
ruler_215_r,average,4.015
ruler_216_r,average,4.015
ruler_217_r,average,4.015
ruler_218_r,average,4.015
ruler_219_r,average,4.015
ruler_220_lr,average,4.015
ruler_220_lr-rev,average,4.015
ruler_221_lr,average,4.015
ruler_221_lr-rev,average,4.015
ruler_222_lr,average,4.015
ruler_222_lr-rev,average,4.015
ruler_223_lr,average,4.015
ruler_223_lr-rev,average,4.015
ruler_224_lr,average,4.015
ruler_224_lr-rev,average,4.015
ruler_225_lr,average,4.015
ruler_225_lr-rev,average,4.015
ruler_226_lr,average,4.015
ruler_226_lr-rev,average,4.015
ruler_227_lr,average,4.015
ruler_227_lr-rev,average,4.015
ruler_228_lr,average,4.015
ruler_228_lr-rev,average,4.015
ruler_229_lr,average,4.015
ruler_229_lr-rev,average,4.015
ruler_230_lr,average,4.015
ruler_230_lr-rev,average,4.015
ruler_231_lr,average,4.015
ruler_231_lr-rev,average,4.015
ruler_232_r,average,4.015
ruler_233_r,average,4.015
ruler_234_r,average,4.015
ruler_235_r,average,4.015
ruler_236_r,average,4.015
ruler_237_lr,average,4.015
ruler_237_lr-rev,average,4.015
ruler_238_r,average,4.015
ruler_239_r,average,4.015
ruler_240_r,average,4.015
ruler_241_r,average,4.015
ruler_242_lr,average,4.015
ruler_242_lr-rev,average,4.015
ruler_243_r,average,4.015
ruler_244_r,average,4.015
ruler_245_r,average,4.015
ruler_246_r,average,4.015
ruler_247_r,average,4.015
ruler_248_r,average,4.015
ruler_249_r,average,4.015
ruler_250_r,average,4.015
ruler_251_r,average,4.015
ruler_252_r,average,4.015
ruler_253_r,average,4.015
ruler_254_lr,average,4.015
ruler_254_lr-rev,average,4.015
ruler_255_lr,average,4.015
ruler_255_lr-rev,average,4.015
ruler_256_r,average,4.015
ruler_257_r,average,4.015
ruler_258_r,average,4.015
ruler_259_r,average,4.015
ruler_260_r,average,4.015
ruler_261_r,average,4.015
ruler_262_r,average,4.015
ruler_263_r,average,4.015
ruler_264_r,average,4.015
ruler_265_r,average,4.015
ruler_266_r,average,4.015
ruler_267_lr,average,4.015
ruler_267_lr-rev,average,4.015
ruler_268_lr,average,4.015
ruler_268_lr-rev,average,4.015
ruler_269_r,average,4.015
ruler_270_r,average,4.015
ruler_271_r,average,4.015
ruler_272_r,average,4.015
ruler_273_r,average,4.015
ruler_274_r,average,4.015
ruler_275_r,average,4.015
ruler_276_r,average,4.015
ruler_277_r,average,4.015
ruler_278_r,average,4.015
ruler_279_r,average,1.0194999999999999
ruler_280_r,average,1.0194999999999999
ruler_281_r,average,1.0194999999999999
ruler_282_r,average,1.0194999999999999
ruler_283_r,average,1.0194999999999999
ruler_284_r,average,1.0194999999999999
ruler_285_r,average,1.0194999999999999
ruler_286_r,average,1.0194999999999999
ruler_287_r,average,1.0194999999999999
ruler_288_r,average,1.0194999999999999
ruler_289_r,average,1.0194999999999999
ruler_290_r,average,1.0194999999999999
ruler_291_r,average,1.0194999999999999
ruler_292_r,average,1.0194999999999999
ruler_293_r,average,1.0194999999999999
ruler_294_r,average,1.0194999999999999
ruler_295_r,average,1.0194999999999999
ruler_296_r,average,1.0194999999999999
ruler_297_r,average,1.0194999999999999
ruler_298_r,average,1.0194999999999999
ruler_299_r,average,1.0194999999999999
ruler_300_r,average,1.0194999999999999
ruler_301_r,average,1.0194999999999999
ruler_302_r,average,1.0194999999999999
ruler_303_r,average,1.0194999999999999
ruler_304_r,average,1.0194999999999999
ruler_305_r,average,1.0194999999999999
ruler_306_r,average,1.0194999999999999
ruler_307_r,average,1.0194999999999999
ruler_308_r,average,1.0194999999999999
ruler_309_r,average,1.0194999999999999
ruler_310_r,average,1.0194999999999999
ruler_311_r,average,1.0194999999999999
ruler_312_r,average,1.0194999999999999
ruler_313_r,average,1.0194999999999999
ruler_314_r,average,1.0194999999999999
ruler_315_r,average,1.0194999999999999
ruler_316_r,average,1.0194999999999999
ruler_317_r,average,1.0194999999999999
ruler_318_r,average,1.0194999999999999
ruler_319_r,average,1.0194999999999999
ruler_320_r,average,1.0194999999999999
ruler_321_r,average,1.0194999999999999
ruler_322_r,average,1.0194999999999999
ruler_323_r,average,1.0194999999999999
ruler_324_r,average,1.0194999999999999
ruler_325_r,average,1.0194999999999999
ruler_326_r,average,1.0194999999999999
ruler_327_r,average,1.0194999999999999
ruler_328_r,average,1.0194999999999999
